;26;29;31;33;35;43;ano
1;9.703.844.769.195.480;11.378.538.668.816.600;554.757.689.945.744;1.612.521.979.161.770;3.925.347.556.249.160;10.714.571.887.946.800;1997
2;17.479.242.992.035.400;12.925.721.416.361.700;9.723.962.133.373.990;20.422.855.922.886.100;25.393.869.841.910.100;11.631.371.842.251.100;1997
3;9.822.154.060.179.010;19.118.921.971.107.100;12.959.496.407.547.300;18.050.130.271.941.300;3.900.235.852.480.580;117.595.707.233.244;1997
4;16.758.767.308.824.900;13.831.569.957.908.500;803.864.685.984.574;30.802.957.654.281.800;7.701.657.243.884.870;8.040.868.078.498.630;1997
5;15.370.547.018.642.100;10.650.576.889.672.200;8.614.353.346.841.120;24.722.652.511.730.100;40.110.322.840.835.700;16.338.781.676.231.300;1997
6;9.919.701.617.725.700;14.725.947.426.396.200;36.355.152.364.095.900;3.391.011.875.889.420;52.274.169.880.332.800;14.812.419.759.050.400;1997
7;9.502.497.387.894.110;17.652.442.170.246.000;3.263.400.211.024.120;26.626.341.433.601.500;6.518.824.316.396.420;14.903.848.400.817.400;1997
8;12.094.597.992.841.300;12.312.775.504.709.400;2.433.148.050.908.400;2.521.306.640.377.630;30.430.220.519.478.400;5.678.522.246.968.460;1997
9;13.796.138.247.198.600;8.917.222.944.154.370;51.377.112.311.862.600;27.384.799.543.442.000;49.384.178.290.292.800;10.785.142.016.601.300;1997
10;1.721.561.519.418.190;11.118.293.630.066.500;3.936.078.786.877.610;2.404.586.607.499.070;4.709.078.145.954.580;6.796.331.642.083.050;1997
11;16.789.129.601.010.900;8.346.978.628.818.250;321.412.997.064.218;1.877.743.608.385.830;382.961.747.070.891;5.902.546.742.242.560;1997
12;17.969.796.404.189.400;7.000.157.163.792.990;5.486.145.897.643.220;205.656.658.056.959;25.199.359.140.085.500;7.034.176.048.208.550;1997
