;26;29;31;33;35;43;ano
1;6.350.159.922.869.830;9.158.117.239.704.620;25.177.942.252.315.400;2.350.145.960.442.270;31.412.885.879.048.300;18.346.482.312.281.700;2000
2;11.465.899.465.332.400;12.159.052.860.301.600;5.955.230.366.965.690;2.491.848.901.560.130;41.291.915.793.368.900;8.272.811.383.255.720;2000
3;1.643.390.107.833.580;13.485.857.067.629.100;5.582.452.909.447.050;251.027.953.059.466;3.205.301.351.816.240;8.277.335.954.526.080;2000
4;14.167.078.485.415.200;7.579.822.638.499.220;39.919.789.631.430.700;20.035.842.451.569.400;3.700.057.973.095.000;12.151.144.547.135.600;2000
5;10.363.675.302.631.100;9.392.445.914.318.530;28.416.701.525.571.000;17.437.571.590.854.000;23.691.719.309.732.900;1.556.986.967.288.520;2000
6;4.905.204.554.597.670;10.976.342.231.263.000;44.858.027.238.175.900;17.636.897.544.841.100;4.677.992.996.777.980;898.079.621.901.006;2000
7;6.472.597.942.131.940;8.213.552.424.648.530;24.452.748.107.058.000;26.094.145.848.536.300;3.656.266.890.981.520;11.099.306.990.912.400;2000
8;1.402.644.714.506.860;10.335.458.543.672.900;581.649.656.455.315;20.190.740.189.831.300;2.920.889.470.270.350;8.932.337.936.635.730;2000
9;8.726.790.108.755.020;6.300.504.927.980.630;5.579.148.990.508.180;26.842.107.092.622.700;46.087.365.759.628.400;7.839.213.364.818.120;2000
10;10.958.497.764.251.900;5.513.461.199.028.320;6.065.206.057.783.150;28.302.093.231.553.300;24.173.410.964.644.700;6.789.588.778.575.690;2000
11;15.995.959.905.570.500;6.373.986.991.512.150;5.065.292.017.205.080;15.799.396.567.587.600;17.627.445.293.283.100;4.582.881.363.880.180;2000
12;10.618.791.618.401.500;4.195.811.340.207.180;418.639.406.047.663;2.123.480.327.631.270;26.167.768.428.536.600;5.399.640.070.722.430;2000
