;26;29;31;33;35;43;ano
1;10.719.893.376.065.600;1.446.813.188.500.490;13.740.194.251.867.300;1.520.254.053.614.560;20.302.170.006.582.500;1.408.785.391.297.490;2003
2;903.547.938.168.649;1.190.938.575.893.410;10.855.451.932.863.300;1.322.787.998.941.360;16.413.681.642.186.400;1.328.889.460.287.550;2003
3;89.840.696.528.872;11.121.469.938.992.500;1.115.171.432.919.350;13.343.248.043.115.100;16.264.246.453.032.100;1.367.741.784.974.910;2003
4;8.843.894.337.106.040;10.994.154.487.622.300;1.085.357.847.593.140;13.323.193.205.316.300;1.651.640.138.721.430;13.204.791.887.090.400;2003
5;916.536.278.062.958;10.296.259.947.703.200;10.924.100.875.390.100;14.094.035.502.055.100;15.563.737.139.695.400;13.360.340.582.154.600;2003
6;9.817.899.434.335.570;10.614.433.205.500.700;1.113.654.014.284.810;13.852.087.423.863.500;15.692.709.641.857.500;12.935.681.366.572.900;2003
7;9.410.776.834.457.560;10.721.267.475.043.500;1.045.441.251.989.910;1.358.339.333.684.340;15.718.787.793.081.700;12.424.741.493.382.300;2003
8;8.931.390.100.792.160;11.480.598.312.683.400;10.456.778.732.803.700;13.898.970.144.597.000;159.192.375.260.238;13.528.809.765.493.200;2003
9;8.898.024.562.936.300;11.258.569.622.931.800;10.793.409.977.612.400;13.840.677.039.470.300;15.328.739.600.892.100;13.416.914.016.796.600;2003
10;8.411.970.053.213.490;1.105.409.622.373.160;10.861.593.704.643.700;13.914.817.895.793.300;15.272.162.491.239.200;13.677.282.727.145.200;2003
11;8.253.783.235.858.240;10.965.287.532.798.500;10.702.541.025.617.600;13.766.297.930.654.800;15.578.521.406.473.400;1.371.484.756.356.060;2003
12;8.223.819.621.299.580;11.211.966.591.466.900;10.440.673.432.452.000;14.204.673.328.619.300;1.587.093.197.778.780;13.837.761.977.990.500;2003
