id	26	29	31	33	35	43	ano	mu	ln	mu20	mu40	mu60	mu80
37	155,1072517	100,2334054	51,36162792	222,6242913	82,41842415	55,26581892	1998	111,1684	4,711046169	1,098612289	1,791759469	2,302585093	2,564949357
38	108,6774683	40,8018426	33,12681445	178,493345	62,58041304	53,89447317	1998	79,5957	4,376960071	0,895879735	1,700598691	2,124247621	2,433767225
39	96,16364933	33,83332532	41,21756291	165,5014039	38,24540926	136,3604087	1998	85,2202	4,445238495	0,794513458	1,39960549	2,035078885	2,368176159
40	65,77894777	30,60819179	92,75211721	225,0124228	44,73618696	152,9043379	1998	101,9653	4,624632559	0,693147181	1,609437912	1,945910149	2,302585093
41	50,19225572	93,70146979	42,09381795	276,9181396	41,91243864	83,11802063	1998	97,9893	4,584858289	0,743830319	1,098612289	1,386294361	1,791759469
42	32,11855953	75,8133935	66,44868169	272,763477	42,43361148	69,05817394	1998	93,1059	4,533737555	0,794513458	1,134513458	0,693147181	1,098612289
43	80,77711579	56,69247904	33,60368638	275,6771157	43,38384429	104,5325759	1998	99,1111	4,596241443	0,895879735	1,235879735	1,609437912	1,945910149
44	93,10213413	66,52186914	91,522837	213,6951249	16,7477798	72,12082564	1998	92,285	4,524881615	0,997246012	1,337246012	0,693147181	0,693147181
45	178,8485879	77,77662922	78,5229339	220,2459324	62,86725787	41,69760207	1998	109,9931	4,700417637	1,098612289	1,791759469	2,197224577	2,48490665
46	136,5951772	66,97626554	68,70534975	218,9202509	31,62589119	70,04251185	1998	98,8109	4,593207923	1,522261219	1,098612289	1,609437912	1,945910149
47	215,7168763	37,95590172	73,02331393	229,8315069	103,6661511	84,49865817	1998	124,1154	4,821211778	1,945910149	2,708050201	3,091042453	3,401197382
48	121,2463597	23,10839029	55,949382	235,5680765	56,98215591	99,52543888	1998	98,7299	4,592387839	0,972955075	1,098612289	1,609437912	1,945910149
49	125,5239672	66,88875558	47,02068733	197,5246245	11,5820321	105,2045681	1999	92,2907	4,524943378	1,522261219	1,589026915	0,693147181	1,098612289
50	146,6940193	63,35996836	70,78779922	258,6158545	57,14394766	113,3299189	1999	118,3219	4,773408876	1,386294361	2,079441542	2,48490665	2,772588722
51	109,7777361	74,82329541	49,2042338	288,666228	70,93464503	110,3725271	1999	117,2964	4,764704065	1,098612289	1,945910149	2,397895273	2,708050201
52	121,8724231	93,79577859	66,28378342	245,9948719	62,54863606	93,3670775	1999	113,977	4,735996674	1,098612289	1,945910149	2,397895273	2,63905733
53	190,2322052	106,5880449	49,42396145	244,9997598	44,73823564	86,59026242	1999	120,4287	4,791057877	1,386294361	2,197224577	2,63905733	2,944438979
54	142,5495228	51,23204906	65,86911498	229,8877326	41,70727716	71,21037157	1999	100,4093	4,609254832	0,693147181	1,386294361	1,791759469	2,197224577
55	104,6644923	96,11598368	20,95467123	228,9525074	56,07041185	69,62099228	1999	96,0631	4,565005267	0,34657359	0,693147181	1,098612289	1,386294361
56	45,69652629	145,6364224	63,14112188	169,0529956	33,90904816	65,54030321	1999	87,1627	4,467776487	1,522261219	0,895879735	1,354025101	0,693147181
57	84,11962395	152,2790772	62,62270921	163,0894578	22,16236514	105,2973255	1999	98,2617	4,587634328	1,522261219	1,098612289	1,609437912	1,791759469
58	87,60453128	105,0957356	64,85921191	235,2724939	78,8253489	92,20644033	1999	110,6439	4,706316936	1,098612289	1,791759469	2,197224577	2,564949357
59	62,0342436	95,60256344	68,49630731	281,8563107	58,70017607	138,2148642	1999	117,484	4,766302154	1,098612289	1,945910149	2,397895273	2,708050201
60	56,49285314	72,6825252	24,30440529	263,7330728	60,71310187	103,4703815	1999	96,8993	4,573672295	1,098612289	1,098612289	1,386294361	1,791759469
61	63,50159923	91,5811724	25,17794225	235,014596	31,41288588	183,4648231	2000	105,0255	4,654203178	1,098612289	1,791759469	2,197224577	2,48490665
62	114,6589947	121,5905286	59,55230367	249,1848902	41,29191579	82,72811383	2000	111,5011	4,714034456	1,098612289	1,791759469	2,302585093	2,564949357
63	164,3390108	134,8585707	55,82452909	251,0279531	32,05301352	82,77335955	2000	120,146	4,78870767	1,386294361	2,197224577	2,564949357	2,890371758
64	141,6707849	75,79822638	39,91978963	200,3584245	37,00057973	121,5114455	2000	102,7098	4,631907536	0,693147181	1,609437912	1,945910149	2,302585093
65	103,636753	93,92445914	28,41670153	174,3757159	23,69171931	155,6986967	2000	96,624	4,570827158	0,640827158	0,693147181	1,098612289	1,386294361
66	49,05204555	109,7634223	44,85802724	176,3689754	46,77992997	89,80796219	2000	86,105	4,455567482	0,525567482	0,475567482	1,242453325	1,497866137
67	64,72597942	82,13552425	24,45274811	260,9414585	36,56266891	110,9930699	2000	96,6352	4,570943064	0,640943064	0,693147181	1,386294361	1,609437912
68	140,2644715	103,3545854	58,16496565	201,9074019	29,2088947	89,32337937	2000	103,7039	4,641539723	0,711539723	1,609437912	2,079441542	2,397895273
69	87,26790109	63,00504928	55,79148991	268,4210709	46,08736576	78,39213365	2000	99,8275	4,603443696	0,673443696	1,386294361	1,791759469	2,079441542
70	109,5849776	55,13461199	60,65206058	283,0209323	24,17341096	67,89588779	2000	100,0769	4,60593889	0,67593889	1,386294361	1,791759469	2,079441542
71	159,9595991	63,73986992	50,65292017	157,9939657	17,62744529	45,82881364	2000	82,6337	4,414417588	0,484417588	1,194417588	1,594417588	1,874417588
72	106,1879162	41,9581134	41,8639406	212,3480328	26,16776843	53,99640071	2000	80,4203	4,387266632	0,457266632	1,167266632	1,567266632	1,847266632
73							2001						
74							2001						
75							2001						
76							2001						
77							2001						
78							2001						
79							2001						
80							2001						
81							2001						
82							2001						
83							2001						
84							2001						
85							2002						
86							2002						
87	95,2092949	91,60950379	108,6320278	146,3351741	162,6808466	134,3381232	2002	123,1341618	4,813274507	1,791759469	2,564949357	2,995732274	3,295836866
88	93,31277157	99,74512711	114,4315796	149,2941986	166,9591228	149,7573861	2002	128,9166976	4,859166441	2,079441542	2,833213344	3,218875825	3,526360525
89	92,65214014	105,0114758	111,9793583	155,0924878	165,4641771	148,7163584	2002	129,8193329	4,866143737	2,079441542	2,833213344	3,218875825	3,526360525
90	99,41661986	109,6761361	116,413783	149,9985051	166,4063424	146,4060551	2002	131,3862403	4,878141384	2,079441542	2,833213344	3,258096538	3,555348061
91	104,4370718	116,8061149	112,2160932	159,3274136	175,6181565	150,0888963	2002	136,4156244	4,915706287	2,302585093	2,995732274	3,401197382	3,713572067
92	102,2634239	115,6061278	113,4927524	166,7658398	171,879656	146,7478048	2002	136,1259341	4,913580443	2,302585093	2,995732274	3,401197382	3,688879454
93	96,36006591	115,3294719	120,0453219	158,848076	170,9112464	147,4863174	2002	134,8300833	4,904015343	2,302585093	2,995732274	3,401197382	3,688879454
94	95,42778747	112,7621361	123,3737522	162,8726823	172,1442598	146,3983175	2002	135,4964893	4,90894573	2,302585093	2,995732274	3,401197382	3,688879454
95	92,61843408	113,8310481	115,1859052	160,6025448	166,7000703	144,5085628	2002	132,2410942	4,884626728	2,197224577	2,890371758	3,295836866	3,583518938
96	96,91790932	114,2611409	112,4994472	154,1934107	178,8299586	140,0433511	2002	132,7908696	4,888775482	2,197224577	2,890371758	3,33220451	3,610917913
97	107,1989338	144,6813189	137,4019425	152,0254054	203,0217001	140,8785391	2003	147,5346399	4,994062995	2,48490665	3,218875825	3,610917913	3,912023005
98	90,35479382	119,0938576	108,5545193	132,2787999	164,1368164	132,888946	2003	124,5512888	4,82471759	2,079441542	2,772588722	3,17805383	3,465735903
99	89,84069653	111,2146994	111,5171433	133,4324804	162,6424645	136,7741785	2003	124,2369438	4,822190579	1,945910149	2,708050201	3,135494216	3,401197382
100	88,43894337	109,9415449	108,5357848	133,2319321	165,1640139	132,0479189	2003	122,8933563	4,811316957	1,791759469	2,564949357	2,944438979	3,258096538
101	91,65362781	102,9625995	109,2410088	140,940355	155,6373714	133,6034058	2003	122,339728	4,806801831	1,791759469	2,48490665	2,890371758	3,218875825
102	98,17899434	106,1443321	111,3654014	138,5208742	156,9270964	129,3568137	2003	123,4155854	4,815557403	1,945910149	2,63905733	3,044522438	3,36729583
103	94,10776834	107,2126748	104,5441252	135,8339334	157,1878779	124,2474149	2003	120,5222991	4,79183479	1,386294361	2,197224577	2,63905733	2,944438979
104	89,31390101	114,8059831	104,5677873	138,9897014	159,1923753	135,2880977	2003	123,6929743	4,817802482	1,945910149	2,63905733	3,091042453	3,36729583
105	88,98024563	112,5856962	107,9340998	138,4067704	153,287396	134,1691402	2003	122,560558	4,808605259	1,791759469	2,48490665	2,944438979	3,218875825
106	84,11970053	110,5409622	108,615937	139,148179	152,7216249	136,7728273	2003	121,9865385	4,803910698	1,609437912	2,397895273	2,833213344	3,135494216
107	82,53783236	109,6528753	107,0254103	137,6629793	155,7852141	137,1484756	2003	121,6354645	4,801028576	1,609437912	2,397895273	2,833213344	3,091042453
108	82,23819621	112,1196659	104,4067343	142,0467333	158,7093198	138,3776198	2003	122,9830449	4,812046499	1,791759469	2,564949357	2,995732274	3,295836866
109	91,79616839	125,3069223	124,8051478	171,1406953	184,829103	155,3412301	2004	142,2032112	4,957257099	2,397895273	3,135494216	3,526360525	3,828641396
110	79,65896767	108,8373526	106,9497557	138,8425089	161,8708273	131,8359319	2004	121,3325573	4,798535183	1,609437912	2,397895273	2,772588722	3,091042453
111	79,07150667	111,4025059	110,990801	140,2241318	160,2313273	138,0971175	2004	123,3362317	4,814914217	1,945910149	2,63905733	3,044522438	3,33220451
112	80,17843461	109,9914491	110,6629223	139,1768996	157,2380551	137,8627208	2004	122,5184136	4,808261334	1,791759469	2,48490665	2,944438979	3,218875825
113	75,69653705	103,4124068	108,9023353	134,4165489	157,450739	138,5057955	2004	119,7307271	4,785245281	1,386294361	2,079441542	2,48490665	2,833213344
