;26;29;31;33;35;43;ano
1;;;;;;;2002
2;;;;;;;2002
3;9.520.929.489.975.920;916.095.037.872.378;10.863.202.780.130.800;14.633.517.414.151.100;1.626.808.466.223.520;13.433.812.324.995.000;2002
4;9.331.277.157.418.350;9.974.512.710.557.480;11.443.157.962.217.700;14.929.419.864.209.800;16.695.912.280.296.800;14.975.738.612.381.700;2002
5;9.265.214.013.716.790;10.501.147.579.260.100;11.197.935.834.872.500;15.509.248.776.655.100;16.546.417.708.827.600;14.871.635.837.630.500;2002
6;9.941.661.986.146.350;10.967.613.611.057.000;11.641.378.301.796.200;1.499.985.051.014.100;16.640.634.236.321.900;14.640.605.510.116.700;2002
7;1.044.370.718.024.650;11.680.611.493.335.800;11.221.609.316.388.900;15.932.741.355.072.200;17.561.815.651.148.400;15.008.889.634.732.000;2002
8;10.226.342.393.261.500;11.560.612.783.880.500;11.349.275.236.003.100;16.676.583.980.626.200;1.718.796.560.161.800;14.674.780.479.567.200;2002
9;9.636.006.591.140.270;11.532.947.194.570.500;12.004.532.194.025.900;1.588.480.760.149.050;17.091.124.636.532.100;14.748.631.737.024.600;2002
10;9.542.778.747.122.380;11.276.213.611.794.800;12.337.375.224.365.200;16.287.268.234.163.800;17.214.425.984.212.800;14.639.831.753.572.600;2002
11;9.261.843.407.991.950;11.383.104.810.411.300;11.518.590.523.288.700;16.060.254.475.587.900;1.667.000.702.887.630;1.445.085.627.837.630;2002
12;9.691.790.931.616.030;11.426.114.090.568.000;11.249.944.718.491.100;15.419.341.068.295.700;17.882.995.864.162.800;14.004.335.106.200.100;2002
