;26;29;31;33;35;43;ano
1;9.179.616.839.175.040;12.530.692.232.303.800;12.480.514.778.258.600;17.114.069.533.788.800;18.482.910.298.483.800;1.553.412.301.195.080;2004
2;7.965.896.766.901.340;10.883.735.256.445.600;106.949.755.688.829;13.884.250.887.519.300;16.187.082.725.262.600;13.183.593.192.375.500;2004
3;7.907.150.666.843.270;11.140.250.586.842.900;11.099.080.104.260.800;14.022.413.181.693.400;16.023.132.727.864.600;13.809.711.753.429.500;2004
4;8.017.843.461.166.060;10.999.144.909.903.300;11.066.292.233.552.500;13.917.689.960.868.600;15.723.805.505.469.000;13.786.272.084.835.100;2004
5;7.569.653.705.057.120;1.034.124.067.538.870;10.890.233.531.561.800;13.441.654.893.544.000;15.745.073.903.333.300;138.505.795.488.025;2004
6;8.373.576.760.840.910;9.920.833.500.505.410;10.986.436.827.544.400;13.563.864.693.499.500;1.571.039.952.157.010;14.425.089.558.741.000;2004
7;8.741.918.389.286.960;1.030.008.788.497.590;11.009.536.618.250.700;13.818.168.803.087.000;15.894.446.439.733.300;13.896.721.216.283.800;2004
8;8.576.062.434.383.670;9.997.146.255.276.010;11.457.406.793.001.500;1.343.490.121.841.870;15.796.964.947.178.000;13.752.640.492.798.800;2004
9;8.779.194.873.601.530;10.077.097.552.612.600;11.873.957.733.858.900;13.621.767.735.583.600;1.602.494.784.070.070;13.611.786.011.143.700;2004
10;8.214.957.026.294.550;9.919.525.002.166.730;11.233.175.467.916.800;13.452.190.299.432.500;1.586.140.933.999.350;13.161.123.184.933.300;2004
11;81.085.707.122.802;9.682.255.899.465.900;11.424.398.408.026.800;13.575.642.870.836.000;15.772.376.563.830.900;13.620.952.299.661.500;2004
12;7.824.478.027.481.760;9.766.743.965.970.660;10.787.364.128.852.100;1.370.532.694.642.700;17.019.238.060.668.500;1.335.550.733.691.860;2004
