;26;29;31;33;35;43;ano
1;12.552.396.724.093.300;6.688.875.557.997.600;47.020.687.329.550.900;19.752.462.446.339.600;11.582.032.097.758.000;10.520.456.811.363.900;1999
2;14.669.401.927.429.600;6.335.996.835.818.250;7.078.779.921.627.120;25.861.585.454.080.400;5.714.394.765.541.840;11.332.991.893.166.100;1999
3;10.977.773.614.363.100;7.482.329.540.985.870;49.204.233.797.904.300;28.866.622.802.590.800;7.093.464.503.392.810;11.037.252.712.606.500;1999
4;12.187.242.314.455.100;9.379.577.858.828.160;6.628.378.341.597.110;2.459.948.718.991.400;6.254.863.606.242.730;9.336.707.750.004.020;1999
5;1.902.322.051.717.640;10.658.804.493.913.300;49.423.961.445.356.700;24.499.975.978.224.200;4.473.823.563.935.110;8.659.026.242.175.280;1999
6;14.254.952.279.017.900;51.232.049.055.037.800;6.586.911.497.865.970;22.988.773.259.078.600;41.707.277.163.539.100;7.121.037.156.825.820;1999
7;10.466.449.234.614.400;9.611.598.367.667.110;2.095.467.122.625.310;22.895.250.744.741.600;5.607.041.184.579.170;696.209.922.809.878;1999
8;4.569.652.628.904.700;14.563.642.244.364.300;6.314.112.188.431.060;1.690.529.955.528.710;3.390.904.815.554.700;655.403.032.062.205;1999
9;8.411.962.394.660.870;15.227.907.724.859.500;6.262.270.921.018.900;16.308.945.781.571.600;22.162.365.141.865.900;10.529.732.549.619.800;1999
10;8.760.453.127.812.770;10.509.573.560.898.500;6.485.921.191.028.760;2.352.724.939.206.120;7.882.534.890.100.680;9.220.644.033.430.110;1999
11;6.203.424.359.970.430;9.560.256.344.219.050;6.849.630.730.611.930;28.185.631.066.224.400;5.870.017.606.967.690;13.821.486.416.332.300;1999
12;564.928.531.373.293;7.268.252.520.197.760;24.304.405.290.264.600;26.373.307.278.268.000;6.071.310.186.733.080;10.347.038.147.646.500;1999
